,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
139,0.0026516029611229897,0.9997166395187378,0.13654020428657532,0.9757000207901001,0.933335837716003,1,1
159,0.0046715643256902695,0.9993166923522949,0.1545327603816986,0.9729999899864197,0.9450638617580767,1,1
197,0.0016759884310886264,0.999833345413208,0.20461830496788025,0.972000002861023,0.9493801652892562,1,1
2,0.00010744289465947077,1.0,0.0853535383939743,0.9843000173568726,0.5,2,1
3,6.507092621177435e-05,1.0,0.08496152609586716,0.984499990940094,0.5,2,1
4,7.177733641583472e-05,1.0,0.08592501282691956,0.9851999878883362,0.5,2,1
10,6.255542393773794e-05,1.0,0.09434007853269577,0.9840999841690063,0.5,2,1
11,3.0293325835373253e-05,1.0,0.09268632531166077,0.9843999743461609,0.5,2,1
12,2.0499950551311485e-05,1.0,0.09275787323713303,0.9843000173568726,0.5,2,1
13,1.595290086697787e-05,1.0,0.09368709474802017,0.9843000173568726,0.5,2,1
14,1.2881752809335012e-05,1.0,0.09375342726707458,0.9842000007629395,0.5,2,1
15,1.1017833458026871e-05,1.0,0.09427210688591003,0.9846000075340271,0.5,2,1
16,9.896835763356648e-06,1.0,0.09501560777425766,0.9843999743461609,0.5,2,1
17,8.723963219381403e-06,1.0,0.09519298374652863,0.9846000075340271,0.5,2,1
18,8.30322278488893e-06,1.0,0.09564568102359772,0.9846000075340271,0.5,2,1
23,8.241555042332038e-05,1.0,0.09504434466362,0.9837999939918518,0.6339556724267468,2,1
24,7.484651723643765e-05,1.0,0.09703832119703293,0.9837999939918518,0.6339556724267468,2,1
25,6.209274579305202e-05,1.0,0.09711901843547821,0.9840999841690063,0.6339556724267468,2,1
26,4.629803152056411e-05,1.0,0.09670635312795639,0.9839000105857849,0.6339556724267468,2,1
27,4.794362394022755e-05,1.0,0.09618721902370453,0.9833999872207642,0.6339556724267468,2,1
28,3.585357262636535e-05,1.0,0.09586507827043533,0.9837999939918518,0.6339556724267468,2,1
29,3.0034332667128183e-05,1.0,0.09670111536979675,0.9839000105857849,0.6339556724267468,2,1
30,2.452212902426254e-05,1.0,0.0967530757188797,0.9840999841690063,0.6339556724267468,2,1
31,2.3087446606950834e-05,1.0,0.09692715853452682,0.9840999841690063,0.6339556724267468,2,1
32,2.005979149544146e-05,1.0,0.09740041196346283,0.9839000105857849,0.6339556724267468,2,1
33,2.1939938960713334e-05,1.0,0.09735678881406784,0.9840999841690063,0.6339556724267468,2,1
34,1.798454650270287e-05,1.0,0.0978027880191803,0.9842000007629395,0.6339556724267468,2,1
35,1.4718557395099197e-05,1.0,0.09824103116989136,0.9842000007629395,0.6339556724267468,2,1
36,1.3547856724471785e-05,1.0,0.09827479720115662,0.9842000007629395,0.6339556724267468,2,1
37,1.1804674613813404e-05,1.0,0.09898269921541214,0.9843000173568726,0.6339556724267468,2,1
38,1.1959844414377585e-05,1.0,0.09904725849628448,0.9843000173568726,0.6339556724267468,2,1
39,1.0230694897472858e-05,1.0,0.09905041009187698,0.9843000173568726,0.6339556724267468,2,1
43,0.00020537807722575963,1.0,0.08609756082296371,0.984000027179718,0.7382719759579264,2,1
44,0.00014988322800491005,1.0,0.08622056245803833,0.984000027179718,0.7382719759579264,2,1
45,0.00011942705896217376,1.0,0.0868200734257698,0.9839000105857849,0.7382719759579264,2,1
46,0.00011084631842095405,1.0,0.08770475536584854,0.984000027179718,0.7382719759579264,2,1
47,9.730721649248153e-05,1.0,0.0884312093257904,0.9839000105857849,0.7382719759579264,2,1
49,7.730781362624839e-05,1.0,0.09038440138101578,0.9840999841690063,0.7382719759579264,2,1
50,7.345487392740324e-05,1.0,0.09076675772666931,0.9842000007629395,0.7382719759579264,2,1
51,5.0913298764498904e-05,1.0,0.09094685316085815,0.9843000173568726,0.7382719759579264,2,1
52,4.810151585843414e-05,1.0,0.09148773550987244,0.9840999841690063,0.7382719759579264,2,1
54,7.428455865010619e-05,1.0,0.09122604131698608,0.9843000173568726,0.7382719759579264,2,1
55,5.6318716815439984e-05,1.0,0.09231272339820862,0.9840999841690063,0.7382719759579264,2,1
56,4.984269253327511e-05,1.0,0.09233290702104568,0.9840999841690063,0.7382719759579264,2,1
57,4.9960712203755975e-05,1.0,0.09370248764753342,0.9843000173568726,0.7382719759579264,2,1
58,2.7601576221059076e-05,1.0,0.09369580447673798,0.9837999939918518,0.7382719759579264,2,1
59,2.481054252712056e-05,1.0,0.09397105872631073,0.9840999841690063,0.7382719759579264,2,1
62,0.0006400910206139088,1.0,0.08867069333791733,0.9822999835014343,0.816671675432006,2,1
64,0.0003643793170340359,1.0,0.08975428342819214,0.9824000000953674,0.816671675432006,2,1
65,0.00031858074362389743,1.0,0.0903695672750473,0.9825999736785889,0.816671675432006,2,1
66,0.00027093166136182845,1.0,0.0911790132522583,0.9829000234603882,0.816671675432006,2,1
68,0.0001980461529456079,1.0,0.09169687330722809,0.9829000234603882,0.816671675432006,2,1
70,0.0001651471684454009,1.0,0.09417151659727097,0.9829000234603882,0.816671675432006,2,1
71,0.00013806286733597517,1.0,0.09464192390441895,0.9825999736785889,0.816671675432006,2,1
72,0.00011757561151171103,1.0,0.09612397104501724,0.9828000068664551,0.816671675432006,2,1
73,0.00010408183152321726,1.0,0.09636756032705307,0.9824000000953674,0.816671675432006,2,1
74,0.0001011879212455824,1.0,0.09822295606136322,0.9829999804496765,0.816671675432006,2,1
75,8.802617958281189e-05,1.0,0.0987272560596466,0.9825000166893005,0.816671675432006,2,1
92,0.0004378685844130814,1.0,0.10687510669231415,0.9810000061988831,0.8728437265214125,2,1
93,0.00036035620723851025,1.0,0.1074763759970665,0.9814000129699707,0.8728437265214125,2,1
94,0.0003241238882765174,1.0,0.10830721259117126,0.9815999865531921,0.8728437265214125,2,1
95,0.0002812391030602157,1.0,0.109477199614048,0.9818000197410583,0.8728437265214125,2,1
96,0.00025624808040447533,1.0,0.10959950089454651,0.9815000295639038,0.8728437265214125,2,1
98,0.00023063413391355425,1.0,0.11309875547885895,0.9807000160217285,0.8728437265214125,2,1
99,0.0001837960589909926,1.0,0.11309970915317535,0.98089998960495,0.8728437265214125,2,1
116,0.0010346033377572894,0.9999833106994629,0.11528050899505615,0.9779000282287598,0.910495867768595,2,1
118,0.0008916688384488225,0.9999833106994629,0.11942212283611298,0.9778000116348267,0.910495867768595,2,1
138,0.0022765290923416615,0.9998000264167786,0.13424977660179138,0.9760000109672546,0.933335837716003,2,1
159,0.004012867342680693,0.9993333220481873,0.15539896488189697,0.9725000262260437,0.9450638617580767,2,1
198,0.001742751570418477,0.9998499751091003,0.20730170607566833,0.9695000052452087,0.9493801652892562,2,1
1,0.00022806409106124192,1.0,0.09871701896190643,0.9819999933242798,0.5,3,1
2,0.00010869889956666157,1.0,0.09890690445899963,0.9825000166893005,0.5,3,1
3,0.0001369279925711453,1.0,0.09990174323320389,0.9822999835014343,0.5,3,1
4,6.512982508866116e-05,1.0,0.09983585774898529,0.9825000166893005,0.5,3,1
5,5.167562994756736e-05,1.0,0.09967521578073502,0.9824000000953674,0.5,3,1
6,4.111168163944967e-05,1.0,0.09915180504322052,0.9828000068664551,0.5,3,1
7,3.8651804061373696e-05,1.0,0.0986333116889,0.982699990272522,0.5,3,1
8,2.498168578313198e-05,1.0,0.09839098155498505,0.9829000234603882,0.5,3,1
9,2.1825742805958726e-05,1.0,0.09886278212070465,0.983299970626831,0.5,3,1
10,1.833490387070924e-05,1.0,0.09964563697576523,0.9832000136375427,0.5,3,1
11,1.7095959265134297e-05,1.0,0.09998679906129837,0.9830999970436096,0.5,3,1
12,1.4257885595725384e-05,1.0,0.10039302706718445,0.9832000136375427,0.5,3,1
13,1.6150872397702187e-05,1.0,0.10056158155202866,0.9833999872207642,0.5,3,1
14,1.5311532479245216e-05,1.0,0.10194098204374313,0.9830999970436096,0.5,3,1
15,1.2754095223499462e-05,1.0,0.10206137597560883,0.9824000000953674,0.5,3,1
16,9.98208543023793e-06,1.0,0.10204476118087769,0.9828000068664551,0.5,3,1
17,8.675007848069072e-06,1.0,0.10262581706047058,0.9829999804496765,0.5,3,1
18,5.96755262449733e-06,1.0,0.10347232967615128,0.9829999804496765,0.5,3,1
19,5.703784609067952e-06,1.0,0.10414349287748337,0.982699990272522,0.5,3,1
22,0.0001355916610918939,1.0,0.10082896798849106,0.9817000031471252,0.6339556724267468,3,1
24,6.470922380685806e-05,1.0,0.1026417464017868,0.9821000099182129,0.6339556724267468,3,1
26,5.0548784201964736e-05,1.0,0.10301513969898224,0.9825000166893005,0.6339556724267468,3,1
27,4.8989688366418704e-05,1.0,0.10227249562740326,0.9818999767303467,0.6339556724267468,3,1
28,3.480895975371823e-05,1.0,0.10286203771829605,0.9821000099182129,0.6339556724267468,3,1
29,2.429906999168452e-05,1.0,0.10309436917304993,0.9821000099182129,0.6339556724267468,3,1
30,2.3377881007036194e-05,1.0,0.10269937664270401,0.982200026512146,0.6339556724267468,3,1
31,1.9099205019301735e-05,1.0,0.10284775495529175,0.9821000099182129,0.6339556724267468,3,1
32,1.8240074496134184e-05,1.0,0.10327136516571045,0.982200026512146,0.6339556724267468,3,1
33,1.4844607903796714e-05,1.0,0.10341351479291916,0.982200026512146,0.6339556724267468,3,1
34,1.555868766445201e-05,1.0,0.10449706763029099,0.9822999835014343,0.6339556724267468,3,1
